TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,AccountBalance,CustomerAge_encoded,Target
0.007207441957422414,1,0,0.8387096774193548,0,0.24482758620689654,0.33683185966818,5,1
0.1959402767282487,1,0,0.8064516129032258,0,0.45172413793103444,0.9180546275595326,5,1
0.0656799645621075,1,2,0.016129032258064557,3,0.1586206896551724,0.06863734931174438,1,0
0.0960158428225239,1,2,0.12903225806451613,3,0.05172413793103449,0.569197956003802,2,0
0.04788805795137713,1,0,0.0,3,0.5586206896551724,0.045737843102722775,1,0
0.4250983662089272,1,0,0.5967741935483871,0,0.3793103448275862,0.06188385358620237,4,1
0.09889256585975975,1,2,0.04838709677419356,3,0.5620689655172414,0.09595919536134934,1,0
0.40727519086953123,1,0,0.12903225806451613,3,0.3896551724137931,0.005944850820811549,2,0
0.08689058550694426,1,2,0.0,3,0.4275862068965517,0.013355076448200345,1,0
0.2424316647992287,1,0,0.29032258064516125,1,0.4103448275862069,0.22614430312017286,3,0
0.2567527425280767,1,2,0.33870967741935487,1,0.7724137931034483,0.3366812890458528,3,2
0.030778851916512494,1,1,0.8548387096774193,2,0.09655172413793102,0.3797633083592239,5,1
0.04456314980326758,1,1,0.32258064516129037,0,0.2862068965517241,0.607992073532239,3,0
0.027068296114860464,1,2,0.33870967741935487,1,0.3793103448275862,0.5964801428269905,3,0
0.18009745420434112,1,2,0.06451612903225812,3,0.4551724137931034,0.0874687599568185,1,0
0.07571201500898975,1,2,0.04838709677419356,3,0.296551724137931,0.12299132740103008,1,0
0.128550954999088,1,0,0.08064516129032262,3,0.5103448275862069,0.03845600581847905,1,0
0.020877087839070278,1,1,0.30645161290322587,1,0.29310344827586204,0.1737793360642184,3,0
0.06628449331630924,1,2,0.4193548387096775,0,0.6448275862068966,0.11231022387969408,3,2
0.029137243661568127,1,1,0.14516129032258068,3,0.9413793103448276,0.08405336115304833,2,2
